source,target,type,weight
sub_101S,sub_103S,transit_travel,90.0
sub_103N,sub_101N,transit_travel,90.0
sub_103S,sub_104S,transit_travel,90.0
sub_104N,sub_103N,transit_travel,90.0
sub_104S,sub_106S,transit_travel,90.0
sub_106N,sub_104N,transit_travel,90.0
sub_106S,sub_107S,transit_travel,90.0
sub_107N,sub_106N,transit_travel,90.0
sub_107S,sub_108S,transit_travel,60.0
sub_108N,sub_107N,transit_travel,87.0
sub_108S,sub_109S,transit_travel,90.0
sub_109N,sub_108N,transit_travel,90.0
sub_109S,sub_110S,transit_travel,90.0
sub_110N,sub_109N,transit_travel,81.29032258064517
sub_110S,sub_111S,transit_travel,90.0
sub_111N,sub_110N,transit_travel,90.0
sub_111S,sub_112S,transit_travel,120.0
sub_112N,sub_111N,transit_travel,120.0
sub_112S,sub_113S,transit_travel,105.78947368421052
sub_113N,sub_112N,transit_travel,91.81818181818181
sub_113S,sub_114S,transit_travel,120.0
sub_114N,sub_113N,transit_travel,120.0
sub_114S,sub_115S,transit_travel,90.0
sub_115N,sub_114N,transit_travel,90.0
sub_115S,sub_116S,transit_travel,113.86363636363636
sub_116N,sub_115N,transit_travel,120.0
sub_116S,sub_117S,transit_travel,126.13636363636364
sub_117N,sub_116N,transit_travel,131.05263157894737
sub_117S,sub_118S,transit_travel,60.0
sub_118N,sub_117N,transit_travel,60.0
sub_118S,sub_119S,transit_travel,83.86363636363636
sub_119N,sub_118N,transit_travel,90.0
sub_119S,sub_120S,transit_travel,120.0
sub_120N,sub_119N,transit_travel,90.0
sub_120N,sub_227N,transit_travel,270.0
sub_120S,sub_121S,transit_travel,120.0
sub_120S,sub_123S,transit_travel,188.64406779661016
sub_121N,sub_120N,transit_travel,118.46153846153847
sub_121S,sub_122S,transit_travel,83.86363636363636
sub_122N,sub_121N,transit_travel,61.53846153846154
sub_122S,sub_123S,transit_travel,90.0
sub_123N,sub_120N,transit_travel,180.0
sub_123N,sub_122N,transit_travel,118.46153846153847
sub_123S,sub_124S,transit_travel,90.0
sub_123S,sub_127S,transit_travel,294.82758620689657
sub_124N,sub_123N,transit_travel,60.0
